"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"260","08","073","02353","003","008","02353003008",1,"7;20;",2,1,2,2,13,3,NA,1
"261","08","073","02353","003","009","02353003009",0,"4;7;9;18;20;",2,1,2,2,11,3,NA,1
"262","08","073","02353","003","009","02353003009",1,"4;20;",2,1,2,2,17,3,NA,1
"263","08","073","02353","003","010","02353003010",0,"4;9;23;",2,1,2,2,7,2,NA,1
"264","08","073","02353","003","010","02353003010",1,"5;23;",2,1,2,2,11,3,NA,1
"265","08","073","02353","003","010","02353003010",2,"20;",2,1,2,2,17,3,NA,1
"266","08","073","02353","003","013","02353003013",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"267","08","073","02353","003","014","02353003014",0,"1;2;4;",1,2,2,2,0,2,NA,1
"268","08","073","02353","003","014","02353003014",1,"20;21;",1,1,2,2,9,2,NA,1
"269","08","073","02353","003","015","02353003015",0,"1;2;",1,2,2,2,1,1,NA,1
"270","08","073","02353","003","015","02353003015",1,"14;15;",1,2,2,2,13,1,NA,1
"271","08","074","02383","006","001","02383006001",0,"2;4;",2,1,2,2,2,2,NA,1
"272","08","074","02383","006","001","02383006001",1,"7;8;",2,1,2,2,10,2,NA,1
"273","08","074","02383","006","001","02383006001",2,"14;",2,1,2,2,14,1,NA,1
"274","08","074","02383","006","002","02383006002",0,"2;4;",2,1,2,2,2,2,NA,1
"275","08","074","02383","006","002","02383006002",1,"4;8;",2,1,2,2,10,2,NA,1
"276","08","074","02383","006","002","02383006002",2,"4;8;14;",2,1,2,2,15,2,NA,1
"277","08","074","02383","006","004","02383006004",0,"1;2;3;4;5;6;7;8;9;10;14;16;20;23;24;",2,1,2,2,5,1,NA,1
"278","08","074","02383","006","004","02383006004",1,"1;2;3;4;5;6;7;8;9;10;14;17;20;22;26;27;",2,1,2,2,5,1,NA,1
"279","08","074","02383","006","004","02383006004",2,"1;2;3;4;5;6;7;8;9;10;14;16;17;18;20;21;26;",2,1,2,2,9,1,NA,1
"280","08","074","02383","006","004","02383006004",3,"1;2;3;4;5;6;7;8;9;10;14;17;18;19;20;22;25;26;",2,1,2,2,12,1,NA,1
"281","08","074","02383","006","007","02383006007",1,"4;8;",2,1,2,2,1,2,NA,1
"282","08","074","02383","006","007","02383006007",2,"4;8;",2,1,2,2,5,2,NA,1
"283","08","074","02383","006","007","02383006007",3,"8;14;",2,1,2,2,5,2,NA,1
"284","08","074","02383","006","008","02383006008",0,"2;4;",2,1,2,2,1,2,NA,1
"285","08","074","02383","006","008","02383006008",1,"2;4;",2,1,2,2,9,2,NA,1
"286","08","074","02383","006","008","02383006008",2,"8;14;",2,1,2,2,13,2,NA,1
"287","08","076","02542","011","001","02542011001",0,"4;7;",2,1,2,2,2,1,NA,1
"288","08","076","02542","011","001","02542011001",1,"7;8;",2,1,2,2,8,2,NA,1
"289","08","076","02542","011","001","02542011001",2,"8;",2,1,2,2,12,1,NA,1
"290","08","076","02542","011","002","02542011002",1,"4;",2,1,2,2,1,1,NA,1
