indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-433,1.53E-247,6.24E-228,5.22E-239,1.43E-237,7.63E-15,5.55E-123,0.00E+00,1.39E-218,0,1,0,0,10_Mossambicus,HH_026,Unspecified
Q1-434,1.23E-242,5.37E-223,7.98E-232,9.83E-230,1.30E-12,6.56E-120,3.50E-301,3.05E-211,0,1,0,0,10_Mossambicus,HH_019,Unspecified
Q1-435,3.38E-200,2.44E-198,2.92E-261,1.57E-215,1.62E-289,1.69E-208,1.86E-283,8.47E-212,4.94065645841247e-324,0,6.20E-13,1,RIA1,HH_010,Unspecified
Q1-439,5.11E-240,7.67E-219,8.56E-232,1.19E-226,0.50264894,6.23E-117,4.42E-298,2.16E-206,0,0.49735106,0,0,05_Molobicus,HH_030,Unspecified
Q1-440,1.10E-241,1.95E-222,2.33E-234,4.95E-234,4.92E-11,1.17E-123,1.08E-304,4.22E-209,0,1,0,0,10_Mossambicus,HH_033,Unspecified
Q1-441,6.73E-236,2.84E-217,7.19E-231,1.48E-228,0.003632353,5.77E-114,1.43E-292,1.16E-207,0,0.996367647,0,0,10_Mossambicus,HH_069,Unspecified
Q1-451,8.44E-237,7.87E-218,2.38E-230,5.84E-229,4.47E-07,5.07E-115,2.72E-294,7.28E-204,0,0.999999553,0,0,10_Mossambicus,HH_014,Unspecified
Q1-454,2.62E-244,1.01E-225,1.62E-239,2.69E-236,1.45E-06,2.12E-122,6.83E-307,6.81E-215,0,0.999998551,0,0,10_Mossambicus,HH_024,Unspecified
Q1-459,1.31E-243,2.15E-220,1.23E-230,2.48E-229,4.28E-20,6.54E-118,1.27E-302,1.30E-207,0,1,0,0,10_Mossambicus,HH_023,Unspecified
Q1-460,2.79E-237,1.04E-218,1.31E-231,1.12E-227,0.99977087,1.07E-119,1.03E-300,9.63E-208,0,0.00022913,0,0,05_Molobicus,HH_033,Unspecified
Q1-467,9.06E-211,8.99E-202,1.99E-267,4.72E-234,3.25E-294,1.26E-211,1.11E-291,7.25E-225,0,0,8.51E-23,1,RIA1,HH_038,Unspecified
Q1-468,8.81E-253,3.74E-234,6.66E-245,3.46E-244,4.66E-26,1.16E-125,0.00E+00,5.27E-222,0,1,0,0,10_Mossambicus,HH_015,Unspecified
Q1-469,4.91E-246,1.70E-227,1.30E-242,5.97E-237,2.37E-08,5.03E-121,1.61E-303,2.84E-216,0,0.999999976,0,0,10_Mossambicus,HH_072,Unspecified
Q1-47,2.44E-151,7.28E-139,1.44E-190,1.16E-157,1.93E-223,2.57E-139,1.55E-180,9.13E-136,8.56E-256,1.53E-261,7.11E-11,1,RIA1,HH_016,Unspecified
Q1-476,1.02E-247,2.57E-227,4.85E-238,1.09E-240,2.06E-09,1.29E-126,4.96E-307,3.22E-214,0,0.999999998,0,0,10_Mossambicus,HH_015,Unspecified
