"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","water_source","other_source","laser","pipe","STT","stage","n_day","reason","sink_feet","count","n_drydown"
"247",6,64,2035,3,2,2035003002,1,5,"nguồn tự chảy",99,NA,0,18,20,1,2,1,1
"248",6,64,2035,3,4,2035003004,1,5,"nước khe suối",99,NA,0,17,15,1,3,1,1
"249",6,64,2035,3,6,2035003006,1,5,"nước khe suối",99,NA,0,17,10,1,2,1,1
"250",6,64,2035,3,13,2035003013,1,5,"nước khe suối",99,NA,0,8,20,1,5,1,1
"251",6,64,2044,3,3,2044003003,1,1,NA,2,NA,0,5,7,1,0,2,2
"252",6,64,2044,3,3,2044003003,1,1,NA,2,NA,1,18,15,1,0,2,2
"253",6,64,2044,3,6,2044003006,1,1,NA,2,NA,0,4,7,1,0,2,2
"254",6,64,2044,3,6,2044003006,1,1,NA,2,NA,1,18,15,1,0,2,2
"255",6,64,2044,3,7,2044003007,1,1,NA,99,NA,0,5,7,1,0,2,2
"256",6,64,2044,3,7,2044003007,1,1,NA,99,NA,1,18,15,1,0,2,2
"257",6,64,2044,3,9,2044003009,1,1,NA,99,NA,0,4,7,1,0,2,2
"258",6,64,2044,3,9,2044003009,1,1,NA,99,NA,1,18,15,1,0,2,2
"259",6,64,2044,3,10,2044003010,1,1,NA,99,NA,0,3,7,1,0,2,2
"260",6,64,2044,3,10,2044003010,1,1,NA,99,NA,1,18,15,1,0,2,2
"261",6,64,2044,3,11,2044003011,1,1,NA,99,NA,0,5,7,1,0,2,2
"262",6,64,2044,3,11,2044003011,1,1,NA,99,NA,1,18,15,1,0,2,2
"263",6,64,2044,3,12,2044003012,1,1,NA,2,NA,0,3,7,1,0,2,2
"264",6,64,2044,3,12,2044003012,1,1,NA,2,NA,1,18,15,1,0,2,2
"265",6,64,2044,3,14,2044003014,1,1,NA,99,NA,0,4,7,1,0,2,2
"266",6,64,2044,3,14,2044003014,1,1,NA,99,NA,1,18,15,1,0,2,2
"267",6,64,2047,4,1,2047004001,1,1,NA,2,NA,0,3,7,1,0,2,2
"268",6,64,2047,4,1,2047004001,1,1,NA,2,NA,1,18,15,1,0,2,2
"269",6,64,2047,4,2,2047004002,1,1,NA,99,NA,0,3,7,1,0,2,2
"270",6,64,2047,4,2,2047004002,1,1,NA,99,NA,1,18,15,1,0,2,2
"271",6,64,2047,4,3,2047004003,1,1,NA,2,NA,0,3,7,1,0,2,2
"272",6,64,2047,4,3,2047004003,1,1,NA,2,NA,1,18,15,1,0,2,2
"273",6,64,2047,4,4,2047004004,1,1,NA,1,NA,0,3,7,1,0,2,2
"274",6,64,2047,4,4,2047004004,1,1,NA,1,NA,1,18,15,1,0,2,2
"275",6,64,2047,4,5,2047004005,1,1,NA,99,NA,0,3,7,1,0,2,2
"276",6,64,2047,4,5,2047004005,1,1,NA,99,NA,1,17,15,1,0,2,2
"277",6,64,2047,4,6,2047004006,1,1,NA,2,NA,0,3,7,1,0,2,2
"278",6,64,2047,4,6,2047004006,1,1,NA,2,NA,1,18,15,1,0,2,2
"279",6,64,2047,4,7,2047004007,1,1,NA,99,NA,0,3,7,1,0,2,2
"280",6,64,2047,4,7,2047004007,1,1,NA,99,NA,1,18,15,1,0,2,2
"281",6,64,2047,4,8,2047004008,1,1,NA,2,NA,0,14,7,2,0,2,2
"282",6,64,2047,4,8,2047004008,1,1,NA,2,NA,1,17,20,2,0,2,2
"283",6,64,2047,4,9,2047004009,1,1,NA,99,NA,0,3,7,1,0,2,2
