"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"149",4,"Tinh Cao Bang","2_NMMA",47,1498,4,14,1498004014,1,0,2,1,NA,46,0,0,50,1,5,2
"150",4,"Tinh Cao Bang","2_NMMA",47,1498,4,14,1498004014,1,1,2,3,NA,NA,NA,NA,50,1,9,2
"151",4,"Tinh Cao Bang","2_NMMA",47,1498,4,16,1498004016,1,0,2,1,NA,46,0,0,22,1,3,2
"152",4,"Tinh Cao Bang","2_NMMA",47,1498,4,16,1498004016,1,1,2,1,NA,46,0,0,18,1,7,2
"153",4,"Tinh Cao Bang","2_NMMA",48,1537,4,1,1537004001,1,0,1,3,NA,NA,NA,NA,0.02,1,3,1
"154",4,"Tinh Cao Bang","2_NMMA",48,1537,4,2,1537004002,1,0,2,3,NA,NA,NA,NA,0.02,1,3,2
"155",4,"Tinh Cao Bang","2_NMMA",48,1537,4,2,1537004002,1,1,2,1,NA,8,10,3,0.02,1,11,2
"156",4,"Tinh Cao Bang","2_NMMA",48,1537,4,3,1537004003,1,0,2,1,NA,20,20,15,0.1,1,10,2
"157",4,"Tinh Cao Bang","2_NMMA",48,1537,4,3,1537004003,1,1,2,1,NA,20,20,15,0.1,1,10,2
"158",4,"Tinh Cao Bang","2_NMMA",48,1537,4,5,1537004005,1,0,2,1,NA,20,20,15,0.1,1,4,2
"159",4,"Tinh Cao Bang","2_NMMA",48,1537,4,5,1537004005,1,1,2,1,NA,20,20,15,0.1,1,9,2
"160",4,"Tinh Cao Bang","2_NMMA",48,1537,4,6,1537004006,1,0,2,4,NA,20,20,15,0.1,1,1,2
"161",4,"Tinh Cao Bang","2_NMMA",48,1537,4,6,1537004006,1,1,2,1,NA,46,0,0,0.2,1,4,2
"162",4,"Tinh Cao Bang","2_NMMA",48,1537,4,10,1537004010,1,0,2,3,NA,NA,NA,NA,25,1,1,2
"163",4,"Tinh Cao Bang","2_NMMA",48,1537,4,10,1537004010,1,1,2,1,NA,0,0,0,50,1,2,2
"164",4,"Tinh Cao Bang","2_NMMA",48,1537,4,11,1537004011,1,0,2,3,NA,NA,NA,NA,0.02,1,1,2
"165",4,"Tinh Cao Bang","2_NMMA",48,1537,4,11,1537004011,1,1,2,1,NA,20,20,15,0.02,1,8,2
