"","MATINH","ID","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"70",10,"10-87-2959010001",450,2959010001,87,2959,10,1,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"sắn lá tre",1,6,NA,9,2,2,1,1,2,1,5,5,149,NA,NA,NA,1,1,NA,"99",2947,3,NA,13000,"Lao Cai","NMMA"
"71",10,"10-87-2959010003",452,2959010003,87,2959,10,3,2,1,2,2,2,1,NA,NA,"BẢN 1 A",1,1,"cao sản",2,5,NA,3,2,1,1,1,2,1,11,5,152,NA,NA,NA,1,1,NA,"tân an",3079,2,NA,22100,"Lao Cai","NMMA"
"72",10,"10-87-2959010011",454,2959010011,87,2959,10,11,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"lá tre",1,6,NA,8,2,2,1,1,1,1,8,5,182,NA,NA,NA,1,1,NA,"99",2947,5,NA,24000,"Lao Cai","NMMA"
"73",10,"10-87-2959010013",455,2959010013,87,2959,10,13,2,1,2,2,2,1,NA,NA,"BẢN 1A",1,1,"sắn lai",2,6,NA,5,2,1,1,1,2,1,7,5,188,NA,NA,NA,1,1,NA,"99",2947,2,NA,22750,"Lao Cai","NMMA"
"74",10,"10-87-2959010015",457,2959010015,87,2959,10,15,2,1,2,2,2,1,NA,NA,"BẢN 1A",1,1,"sắn cao sản",2,6,NA,5,2,1,1,1,2,1,9,5,175,NA,NA,NA,1,1,NA,"tân an",3079,3,NA,18200,"Lao Cai","NMMA"
"75",10,"10-82-2686007010",448,2686007010,82,2686,7,10,2,1,2,2,2,1,NA,NA,"NGẢI TRỒ",1,1,"cao sản",2,5,NA,3,1,1,1,1,2,1,8,5,163,NA,NA,NA,1,2,NA,"99",2686,1,NA,5000,"Lao Cai","NMMA"
"76",11,"11-100-3365002005",1306,3365002005,100,3365,2,5,4,1,NA,NA,NA,1,NA,"","THỬA 01",1,1,"sắn thường",1,6,"",3,2,2,2,2,2,1,7,11,222,NA,NA,NA,1,3,"","99",3358,6,NA,13070,"Dien Bien","NMMA"
"77",11,"11-100-3365002011",1309,3365002011,100,3365,2,11,4,1,NA,NA,NA,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",0,2,2,2,2,2,1,4,11,203,NA,NA,NA,1,3,"","99",3358,5,NA,13070,"Dien Bien","NMMA"
"78",11,"11-100-3365002014",1312,3365002014,100,3365,2,14,4,2,2,1,2,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",2,2,2,2,2,2,2,18,11,228,NA,NA,NA,3,2,"","99",3358,5,NA,8800,"Dien Bien","NMMA"
"79",11,"11-100-3365002015",1313,3365002015,100,3365,2,15,4,1,2,2,2,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",5,2,2,2,2,2,1,18,11,237,NA,NA,NA,1,3,"","99",3358,5,NA,7400,"Dien Bien","NMMA"
"80",11,"11-101-3211003001",492,3211003001,101,3211,3,1,2,1,2,2,2,1,NA,NA,"NƯƠNG SAENS",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,19,5,227,NA,NA,NA,1,1,NA,"99",3358,4,NA,5200,"Dien Bien","NMMA"
"81",11,"11-100-3365002012",1310,3365002012,100,3365,2,12,4,2,2,1,2,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",3,2,2,2,2,2,2,17,11,193,NA,NA,NA,3,2,"","99",3358,7,NA,14800,"Dien Bien","NMMA"
"82",11,"11-101-3211003005",496,3211003005,101,3211,3,5,2,1,2,2,2,1,NA,NA,"NƯƠNG SẮN",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,22,5,209,NA,NA,NA,1,1,NA,"99",3358,4,NA,3600,"Dien Bien","NMMA"
