"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","274","Hoai Duc","09832","Tram Troi",3
"01","Ha Noi","274","Hoai Duc","09835","Duc Thuong",1087
"01","Ha Noi","274","Hoai Duc","09838","Minh Khai",143
"01","Ha Noi","274","Hoai Duc","09841","Duong Lieu",851
"01","Ha Noi","274","Hoai Duc","09844","Di Trach",0
"01","Ha Noi","274","Hoai Duc","09847","Duc Giang",1845
"01","Ha Noi","274","Hoai Duc","09850","Cat Que",687
"01","Ha Noi","274","Hoai Duc","09853","Kim Chung",327
"01","Ha Noi","274","Hoai Duc","09856","Yen So",813
"01","Ha Noi","274","Hoai Duc","09859","Son Dong",891
"01","Ha Noi","274","Hoai Duc","09862","Van Canh",0
"01","Ha Noi","274","Hoai Duc","09865","Dac So",180
"01","Ha Noi","274","Hoai Duc","09868","Lai Yen",732
"01","Ha Noi","274","Hoai Duc","09871","Tien Yen",753
"01","Ha Noi","274","Hoai Duc","09874","Song Phuong",212
"01","Ha Noi","274","Hoai Duc","09877","An Khanh",1235
"01","Ha Noi","274","Hoai Duc","09880","An Thuong",2126
"01","Ha Noi","274","Hoai Duc","09883","Van Con",1397
"01","Ha Noi","274","Hoai Duc","09889","La Phu",826
"01","Ha Noi","274","Hoai Duc","09892","Dong La",1640
"01","Ha Noi","275","Quoc Oai","04939","Dong Xuan",957
"01","Ha Noi","275","Quoc Oai","09895","Quoc Oai",704
"01","Ha Noi","275","Quoc Oai","09898","Sai Son",2804
"01","Ha Noi","275","Quoc Oai","09901","Phuong Cach",653
"01","Ha Noi","275","Quoc Oai","09904","Yen Son",732
"01","Ha Noi","275","Quoc Oai","09907","Ngoc Liep",1761
"01","Ha Noi","275","Quoc Oai","09910","Ngoc My",1731
"01","Ha Noi","275","Quoc Oai","09913","Liep Tuyet",1108
"01","Ha Noi","275","Quoc Oai","09916","Thach Than",866
"01","Ha Noi","275","Quoc Oai","09919","Dong Quang",2340
"01","Ha Noi","275","Quoc Oai","09922","Phu Cat",1423
"01","Ha Noi","275","Quoc Oai","09925","Tuyet Nghia",1202
"01","Ha Noi","275","Quoc Oai","09928","Nghia Huong",1338
"01","Ha Noi","275","Quoc Oai","09931","Cong Hoa",1110
"01","Ha Noi","275","Quoc Oai","09934","Tan Phu",858
"01","Ha Noi","275","Quoc Oai","09937","Dai Thanh",130
"01","Ha Noi","275","Quoc Oai","09940","Phu Man",330
"01","Ha Noi","275","Quoc Oai","09943","Can Huu",1686
"01","Ha Noi","275","Quoc Oai","09946","Tan Hoa",1345
"01","Ha Noi","275","Quoc Oai","09949","Hoa Thach",1530
"01","Ha Noi","275","Quoc Oai","09952","Dong Yen",2261
"01","Ha Noi","276","Thach That","04927","Yen Trung",797
"01","Ha Noi","276","Thach That","04930","Yen Binh",1259
"01","Ha Noi","276","Thach That","04936","Tien Xuan",1376
"01","Ha Noi","276","Thach That","09955","Lien Quan",929
"01","Ha Noi","276","Thach That","09958","Dai Dong",1412
"01","Ha Noi","276","Thach That","09961","Cam Yen",837
"01","Ha Noi","276","Thach That","09964","Lai Thuong",1746
"01","Ha Noi","276","Thach That","09967","Phu Kim",1576
"01","Ha Noi","276","Thach That","09970","Huong Ngai",1411
"01","Ha Noi","276","Thach That","09973","Canh Nau",2020
"01","Ha Noi","276","Thach That","09976","Kim Quan",1144
"01","Ha Noi","276","Thach That","09979","Di Nau",1330
"01","Ha Noi","276","Thach That","09982","Binh Yen",1505
"01","Ha Noi","276","Thach That","09985","Chang Son",1114
"01","Ha Noi","276","Thach That","09988","Thach Hoa",389
"01","Ha Noi","276","Thach That","09991","Can Kiem",1757
"01","Ha Noi","276","Thach That","09994","Huu Bang",109
"01","Ha Noi","276","Thach That","09997","Phung Xa",1349
"01","Ha Noi","276","Thach That","10000","Tan Xa",853
"01","Ha Noi","276","Thach That","10003","Thach Xa",861
"01","Ha Noi","276","Thach That","10006","Binh Phu",1754
"01","Ha Noi","276","Thach That","10009","Ha Bang",1233
"01","Ha Noi","276","Thach That","10012","Dong Truc",1401
"01","Ha Noi","277","Chuong My","10015","Chuc Son",1101
"01","Ha Noi","277","Chuong My","10018","Xuan Mai",701
"01","Ha Noi","277","Chuong My","10021","Phung Chau",1748
"01","Ha Noi","277","Chuong My","10024","Tien Phuong",2724
"01","Ha Noi","277","Chuong My","10027","Dong Son",1746
"01","Ha Noi","277","Chuong My","10030","Dong Phuong Yen",1976
"01","Ha Noi","277","Chuong My","10033","Phu Nghia",1481
"01","Ha Noi","277","Chuong My","10039","Truong Yen",1404
"01","Ha Noi","277","Chuong My","10042","Ngoc Hoa",1213
"01","Ha Noi","277","Chuong My","10045","Thuy Xuan Tien",1617
"01","Ha Noi","277","Chuong My","10048","Thanh Binh",1166
"01","Ha Noi","277","Chuong My","10051","Trung Hoa",1824
"01","Ha Noi","277","Chuong My","10054","Dai Yen",1032
"01","Ha Noi","277","Chuong My","10057","Thuy Huong",1273
"01","Ha Noi","277","Chuong My","10060","Tot Dong",2277
"01","Ha Noi","277","Chuong My","10063","Lam Dien",1939
"01","Ha Noi","277","Chuong My","10066","Tan Tien",2196
"01","Ha Noi","277","Chuong My","10069","Nam Phuong Tien",1513
"01","Ha Noi","277","Chuong My","10072","Hop Dong",1206
"01","Ha Noi","277","Chuong My","10075","Hoang Van Thu",1976
"01","Ha Noi","277","Chuong My","10078","Hoang Dieu",1909
"01","Ha Noi","277","Chuong My","10081","Huu Van",1289
"01","Ha Noi","277","Chuong My","10084","Quang Bi",1798
"01","Ha Noi","277","Chuong My","10087","My Luong",1425
"01","Ha Noi","277","Chuong My","10090","Thuong Vuc",1025
"01","Ha Noi","277","Chuong My","10093","Hong Phong",895
"01","Ha Noi","277","Chuong My","10096","Dong Phu",1093
"01","Ha Noi","277","Chuong My","10099","Tran Phu",1104
"01","Ha Noi","277","Chuong My","10102","Van Vo",1575
"01","Ha Noi","277","Chuong My","10105","Dong Lac",861
"01","Ha Noi","277","Chuong My","10108","Hoa Chinh",1313
"01","Ha Noi","277","Chuong My","10111","Phu Nam An",722
"01","Ha Noi","278","Thanh Oai","10114","Kim Bai",1050
"01","Ha Noi","278","Thanh Oai","10120","Cu Khe",523
"01","Ha Noi","278","Thanh Oai","10126","Bich Hoa",2019
"01","Ha Noi","278","Thanh Oai","10129","My Hung",1228
"01","Ha Noi","278","Thanh Oai","10132","Cao Vien",2972
"01","Ha Noi","278","Thanh Oai","10135","Binh Minh",2386
"01","Ha Noi","278","Thanh Oai","10138","Tam Hung",2229
"01","Ha Noi","278","Thanh Oai","10141","Thanh Cao",1928
"01","Ha Noi","278","Thanh Oai","10144","Thanh Thuy",1359
"01","Ha Noi","278","Thanh Oai","10147","Thanh Mai",1507
"01","Ha Noi","278","Thanh Oai","10150","Thanh Van",1310
"01","Ha Noi","278","Thanh Oai","10153","Do Dong",1095
"01","Ha Noi","278","Thanh Oai","10156","Kim An",84
"01","Ha Noi","278","Thanh Oai","10159","Kim Thu",796
