"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_coffee_hh"
"01","Ha Noi","276","Thach That","09964","Lai Thuong",0
"01","Ha Noi","276","Thach That","09967","Phu Kim",0
"01","Ha Noi","276","Thach That","09970","Huong Ngai",1
"01","Ha Noi","276","Thach That","09973","Canh Nau",0
"01","Ha Noi","276","Thach That","09976","Kim Quan",0
"01","Ha Noi","276","Thach That","09979","Di Nau",0
"01","Ha Noi","276","Thach That","09982","Binh Yen",0
"01","Ha Noi","276","Thach That","09985","Chang Son",0
"01","Ha Noi","276","Thach That","09988","Thach Hoa",0
"01","Ha Noi","276","Thach That","09991","Can Kiem",0
"01","Ha Noi","276","Thach That","09994","Huu Bang",0
"01","Ha Noi","276","Thach That","09997","Phung Xa",0
"01","Ha Noi","276","Thach That","10000","Tan Xa",0
"01","Ha Noi","276","Thach That","10003","Thach Xa",0
"01","Ha Noi","276","Thach That","10006","Binh Phu",0
"01","Ha Noi","276","Thach That","10009","Ha Bang",0
"01","Ha Noi","276","Thach That","10012","Dong Truc",0
"01","Ha Noi","277","Chuong My","10015","Chuc Son",0
"01","Ha Noi","277","Chuong My","10018","Xuan Mai",0
"01","Ha Noi","277","Chuong My","10021","Phung Chau",0
"01","Ha Noi","277","Chuong My","10024","Tien Phuong",0
"01","Ha Noi","277","Chuong My","10027","Dong Son",0
"01","Ha Noi","277","Chuong My","10030","Dong Phuong Yen",0
"01","Ha Noi","277","Chuong My","10033","Phu Nghia",0
"01","Ha Noi","277","Chuong My","10039","Truong Yen",0
"01","Ha Noi","277","Chuong My","10042","Ngoc Hoa",0
"01","Ha Noi","277","Chuong My","10045","Thuy Xuan Tien",0
"01","Ha Noi","277","Chuong My","10048","Thanh Binh",0
"01","Ha Noi","277","Chuong My","10051","Trung Hoa",0
"01","Ha Noi","277","Chuong My","10054","Dai Yen",0
"01","Ha Noi","277","Chuong My","10057","Thuy Huong",0
"01","Ha Noi","277","Chuong My","10060","Tot Dong",0
"01","Ha Noi","277","Chuong My","10063","Lam Dien",0
"01","Ha Noi","277","Chuong My","10066","Tan Tien",0
"01","Ha Noi","277","Chuong My","10069","Nam Phuong Tien",0
"01","Ha Noi","277","Chuong My","10072","Hop Dong",0
"01","Ha Noi","277","Chuong My","10075","Hoang Van Thu",0
"01","Ha Noi","277","Chuong My","10078","Hoang Dieu",0
"01","Ha Noi","277","Chuong My","10081","Huu Van",0
"01","Ha Noi","277","Chuong My","10084","Quang Bi",0
"01","Ha Noi","277","Chuong My","10087","My Luong",0
"01","Ha Noi","277","Chuong My","10090","Thuong Vuc",0
"01","Ha Noi","277","Chuong My","10093","Hong Phong",0
"01","Ha Noi","277","Chuong My","10096","Dong Phu",0
"01","Ha Noi","277","Chuong My","10099","Tran Phu",0
"01","Ha Noi","277","Chuong My","10102","Van Vo",0
"01","Ha Noi","277","Chuong My","10105","Dong Lac",0
"01","Ha Noi","277","Chuong My","10108","Hoa Chinh",0
"01","Ha Noi","277","Chuong My","10111","Phu Nam An",0
"01","Ha Noi","278","Thanh Oai","10114","Kim Bai",0
"01","Ha Noi","278","Thanh Oai","10120","Cu Khe",0
"01","Ha Noi","278","Thanh Oai","10126","Bich Hoa",0
"01","Ha Noi","278","Thanh Oai","10129","My Hung",0
"01","Ha Noi","278","Thanh Oai","10132","Cao Vien",0
"01","Ha Noi","278","Thanh Oai","10135","Binh Minh",0
"01","Ha Noi","278","Thanh Oai","10138","Tam Hung",0
"01","Ha Noi","278","Thanh Oai","10141","Thanh Cao",0
"01","Ha Noi","278","Thanh Oai","10144","Thanh Thuy",0
"01","Ha Noi","278","Thanh Oai","10147","Thanh Mai",0
"01","Ha Noi","278","Thanh Oai","10150","Thanh Van",0
"01","Ha Noi","278","Thanh Oai","10153","Do Dong",0
"01","Ha Noi","278","Thanh Oai","10156","Kim An",0
"01","Ha Noi","278","Thanh Oai","10159","Kim Thu",0
"01","Ha Noi","278","Thanh Oai","10162","Phuong Trung",0
"01","Ha Noi","278","Thanh Oai","10165","Tan Uoc",0
"01","Ha Noi","278","Thanh Oai","10168","Dan Hoa",0
"01","Ha Noi","278","Thanh Oai","10171","Lien Chau",0
"01","Ha Noi","278","Thanh Oai","10174","Cao Duong",0
"01","Ha Noi","278","Thanh Oai","10177","Xuan Duong",0
"01","Ha Noi","278","Thanh Oai","10180","Hong Duong",0
"01","Ha Noi","279","Thuong Tin","10183","Thuong Tin",0
"01","Ha Noi","279","Thuong Tin","10186","Ninh So",0
"01","Ha Noi","279","Thuong Tin","10189","Nhi Khe",0
"01","Ha Noi","279","Thuong Tin","10192","Duyen Thai",0
"01","Ha Noi","279","Thuong Tin","10195","Khanh Ha",0
"01","Ha Noi","279","Thuong Tin","10198","Hoa Binh",0
"01","Ha Noi","279","Thuong Tin","10201","Van Binh",0
"01","Ha Noi","279","Thuong Tin","10204","Hien Giang",0
"01","Ha Noi","279","Thuong Tin","10207","Hong Van",0
"01","Ha Noi","279","Thuong Tin","10210","Van Tao",0
"01","Ha Noi","279","Thuong Tin","10213","Lien Phuong",0
"01","Ha Noi","279","Thuong Tin","10216","Van Phu",0
"01","Ha Noi","279","Thuong Tin","10219","Tu Nhien",0
"01","Ha Noi","279","Thuong Tin","10222","Tien Phong",0
"01","Ha Noi","279","Thuong Tin","10225","Ha Hoi",0
"01","Ha Noi","279","Thuong Tin","10228","Thu Phu",0
"01","Ha Noi","279","Thuong Tin","10231","Nguyen Trai",0
"01","Ha Noi","279","Thuong Tin","10234","Quat Dong",0
