"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_hh"
"01","Ha Noi","274","Hoai Duc","09889","La Phu","3231"
"01","Ha Noi","274","Hoai Duc","09892","Dong La","3306"
"01","Ha Noi","275","Quoc Oai","04939","Dong Xuan","1279"
"01","Ha Noi","275","Quoc Oai","09895","Quoc Oai","3588"
"01","Ha Noi","275","Quoc Oai","09898","Sai Son","5464"
"01","Ha Noi","275","Quoc Oai","09901","Phuong Cach","1710"
"01","Ha Noi","275","Quoc Oai","09904","Yen Son","2079"
"01","Ha Noi","275","Quoc Oai","09907","Ngoc Liep","2453"
"01","Ha Noi","275","Quoc Oai","09910","Ngoc My","3156"
"01","Ha Noi","275","Quoc Oai","09913","Liep Tuyet","1464"
"01","Ha Noi","275","Quoc Oai","09916","Thach Than","2047"
"01","Ha Noi","275","Quoc Oai","09919","Dong Quang","4038"
"01","Ha Noi","275","Quoc Oai","09922","Phu Cat","2153"
"01","Ha Noi","275","Quoc Oai","09925","Tuyet Nghia","1577"
"01","Ha Noi","275","Quoc Oai","09928","Nghia Huong","2017"
"01","Ha Noi","275","Quoc Oai","09931","Cong Hoa","1817"
"01","Ha Noi","275","Quoc Oai","09934","Tan Phu","1378"
"01","Ha Noi","275","Quoc Oai","09937","Dai Thanh","1642"
"01","Ha Noi","275","Quoc Oai","09940","Phu Man","596"
"01","Ha Noi","275","Quoc Oai","09943","Can Huu","3054"
"01","Ha Noi","275","Quoc Oai","09946","Tan Hoa","1845"
"01","Ha Noi","275","Quoc Oai","09949","Hoa Thach","3446"
"01","Ha Noi","275","Quoc Oai","09952","Dong Yen","3128"
"01","Ha Noi","276","Thach That","04927","Yen Trung","941"
"01","Ha Noi","276","Thach That","04930","Yen Binh","1833"
"01","Ha Noi","276","Thach That","04936","Tien Xuan","1773"
"01","Ha Noi","276","Thach That","09955","Lien Quan","1829"
"01","Ha Noi","276","Thach That","09958","Dai Dong","2869"
"01","Ha Noi","276","Thach That","09961","Cam Yen","1232"
"01","Ha Noi","276","Thach That","09964","Lai Thuong","2555"
