"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","timing","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","other_specify","n_year_harvest","dry_method","dry_other","n_year_dry","store_method","moisture","KYDIEUTRA","dry_mechan","hermetic"
"204",6,66,2173,5,1,2173005001,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"205",6,66,2173,5,3,2173005003,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"206",6,66,2173,5,4,2173005004,3,1,0,0,0,NA,3,3,NA,NA,2,2,1,0,0
"207",6,66,2173,5,5,2173005005,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"208",6,66,2173,5,6,2173005006,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"209",6,66,2173,5,8,2173005008,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"210",6,66,2173,5,9,2173005009,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"211",6,66,2173,5,10,2173005010,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"212",6,66,2173,5,11,2173005011,2,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"213",6,66,2173,5,12,2173005012,2,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"214",6,66,2173,5,13,2173005013,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"215",6,66,2173,5,14,2173005014,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
"216",8,70,2215,13,4,2215013004,2,1,0,0,0,NA,4,2,NA,NA,2,2,1,0,0
"217",8,72,2275,5,1,2275005001,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"218",8,72,2275,5,2,2275005002,2,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"219",8,72,2275,5,3,2275005003,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"220",8,72,2275,5,4,2275005004,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"221",8,72,2275,5,5,2275005005,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"222",8,72,2275,5,6,2275005006,3,0,0,1,0,NA,NA,3,NA,NA,2,2,1,0,0
