"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"00985007011","02","031","00985","007","011",8,2,1150,9,2,2022,NA,680,4044,364
"00985007011","02","031","00985","007","011",8,4,2310,14,7,2021,NA,1260,7488,364
"00985007011","02","031","00985","007","011",8,6,310,15,7,2021,NA,140,1215,364
"00985007012","02","031","00985","007","012",8,2,1380,15,2,2022,NA,800,4758,364
"00985007012","02","031","00985","007","012",8,4,1380,15,7,2021,NA,750,4452,364
"00985007012","02","031","00985","007","012",8,6,220,15,7,2021,NA,85,720,364
"00985007013","02","031","00985","007","013",8,2,685,12,2,2022,NA,380,2250,364
"00985007013","02","031","00985","007","013",8,4,1525,10,7,2021,NA,790,4644,364
"00985007013","02","031","00985","007","013",8,6,570,10,7,2021,NA,200,1728,364
"00985007014","02","031","00985","007","014",8,2,1034,10,2,2022,NA,800,4764,364
"00985007014","02","031","00985","007","014",8,4,1450,1,7,2021,NA,1100,6528,364
"00985007014","02","031","00985","007","014",8,6,460,1,7,2021,NA,200,1755,364
"00985007015","02","031","00985","007","015",8,2,1690,12,2,2022,NA,900,5364,364
"00985007015","02","031","00985","007","015",8,4,1690,17,7,2021,NA,990,5868,364
"00985007015","02","031","00985","007","015",8,6,170,17,7,2021,NA,80,675,364
"00985007016","02","031","00985","007","016",8,2,1000,18,2,2022,NA,500,2964,364
"00985007016","02","031","00985","007","016",8,4,1300,18,7,2021,NA,700,4128,364
"00985007016","02","031","00985","007","016",8,6,500,18,7,2021,NA,300,2655,364
"01006007001","02","031","01006","007","001",7,1,10000,NA,NA,NA,NA,4800,26290,440
"01006007001","02","031","01006","007","001",7,6,500,4,8,2021,NA,210,1890,440
"01006007002","02","031","01006","007","002",7,1,5670,NA,NA,NA,NA,2710,14963,440
